chromosome,gene,location,ltr,ncbi_gene_id,note,orientation_in_gene,orientation_in_reference,sample/original_id,sample/pubmed_id,source_name
10,ANKRD26,27334870,3p,22852,,R,F,IBB8F06,23953889,NCI-RID
10,ANKRD26,27366184,3p,22852,,R,F,IBB6G12,23953889,NCI-RID
10,ACBD5,27512173,3p,91452,,R,R,5O55L:01980:01036,23953889,NCI-RID
10,,28576512,3p,,,,R,5O55L:01022:02539,23953889,NCI-RID
10,,28647495,3p,,,,F,5O55L:00081:01751,23953889,NCI-RID
10,WAC,28847430,5p,51322,,F,R,97__056,23953889,NCI-RID
10,SVIL,29916114,3p,6840,,R,F,G13FKHM01A9IEF,23953889,NCI-RID
10,MTPAP,30611582,3p,55149,,R,R,G13FKHM01AW7E1,23953889,NCI-RID
10,MTPAP,30629658,5p,55149,,R,F,RSHY_106G_102_019,23953889,NCI-RID
10,MTPAP,30635321,3p,55149,,R,R,GXIEMIS01AAKBE,23953889,NCI-RID
10,MAP3K8,30740937,5p,1326,,F,R,RSHY_106G_137_084,23953889,NCI-RID
10,ZNF438,31243416,3p,220929,,R,F,5O55L:02008:01050,23953889,NCI-RID
10,ZNF438,31273103,3p,220929,,R,R,GXIEMIS01ASGVL,23953889,NCI-RID
10,,31382265,5p,,,,F,88__057,23953889,NCI-RID
10,,31456504,3p,,,,R,G13FKHM01A4U14,23953889,NCI-RID
10,ZEB1,31671989,3p,6935,,F,R,5O55L:01019:00948,23953889,NCI-RID
10,ARHGAP12,32121221,3p,94134,,R,F,IBB14B12,23953889,NCI-RID
10,KIF5B,32307394,3p,3799,,R,F,5O55L:02422:01880,23953889,NCI-RID
10,KIF5B,32309708,5p,3799,,R,R,RSHY_106G_81_013,23953889,NCI-RID
10,EPC1,32558917,3p,80314,,R,F,5O55L:01270:01010,23953889,NCI-RID
10,EPC1,32579797,3p,80314,,R,R,5O55L:02471:01753,23953889,NCI-RID
10,EPC1,32582901,5p,80314,,R,R,RSHY_106BN_100_030,23953889,NCI-RID
10,EPC1,32589904,3p,80314,,R,R,5O55L:02053:01285,23953889,NCI-RID
10,EPC1,32594604,3p,80314,,R,R,G13FKHM01BCYDB,23953889,NCI-RID
10,,32651990,3p,,,,R,G13FKHM01ASDIG,23953889,NCI-RID
10,C10ORF68,33100114,3p,79741,,F,R,G13FKHM01A2ZSQ,23953889,NCI-RID
10,ITGB1,33218898,3p,3688,,R,F,G13FKHM01BU99P,23953889,NCI-RID
10,ITGB1,33219304,3p,3688,,R,F,G13FKHM01BU7EO,23953889,NCI-RID
10,ITGB1,33223126,3p,3688,,R,F,GXIEMIS01ABYJ9,23953889,NCI-RID
10,ITGB1,33235406,3p,3688,,R,R,GXIEMIS01AATDN,23953889,NCI-RID
10,ITGB1,33236843,3p,3688,,R,R,G13FKHM01ARRQE,23953889,NCI-RID
10,ITGB1,33241751,3p,3688,,R,R,5O55L:02472:02704,23953889,NCI-RID
10,PARD3,34665683,3p,56288,,R,F,5O55L:00361:01538,23953889,NCI-RID
10,PARD3,34914631,3p,56288,,R,R,5O55L:01261:02176,23953889,NCI-RID
10,CREM,35428234,3p,1390,,F,R,5O55L:02232:02231,23953889,NCI-RID
10,CREM,35443633,3p,1390,,F,R,5O55L:02422:01684,23953889,NCI-RID
10,,36986114,3p,,,,F,G13FKHM01ACXTS,23953889,NCI-RID
10,ANKRD30A,37516063,3p,91074,,F,R,5O55L:01901:02513,23953889,NCI-RID
10,,38298929,3p,,,,R,G13FKHM01A2UMU,23953889,NCI-RID
10,,42958321,3p,,,,F,G13FKHM01BB2PT,23953889,NCI-RID
10,BMS1,43299087,3p,9790,,F,F,5O55L:00302:00781,23953889,NCI-RID
10,CSGALNACT2,43647234,3p,55454,,F,R,5O55L:01240:02046,23953889,NCI-RID
10,,44564601,3p,,,,R,GXIEMIS01ALDWY,23953889,NCI-RID
10,RSU1P2,45647765,3p,,,R,F,G13FKHM01BCEYS,23953889,NCI-RID
10,MARCH8,46043727,3p,220972,,R,F,G13FKHM01A0Z1N,23953889,NCI-RID
10,ZFAND4,46127933,3p,93550,,R,F,GXIEMIS01A9IZ2,23953889,NCI-RID
10,PTPN20A,46590676,3p,653129,,R,R,5O55L:01750:02211,23953889,NCI-RID
10,,47065566,3p,,,,R,G13FKHM01AWN98,23953889,NCI-RID
10,PTPN20B,48777561,3p,26095,,R,R,5O55L:01765:02608,23953889,NCI-RID
10,FRMPD2,49433020,3p,143162,,R,F,G13FKHM01BBC0R,23953889,NCI-RID
10,,49607737,3p,,,,F,5O55L:01281:02418,23953889,NCI-RID
10,WDFY4,49959583,3p,57705,,F,F,G13FKHM01ACOI8,23953889,NCI-RID
10,SGMS1,52112325,3p,259230,,R,R,5O55L:01984:02038,23953889,NCI-RID
10,,52645978,3p,,,,R,G13FKHM01BO4M1,23953889,NCI-RID
10,CSTF2T,53455467,3p,23283,,R,F,5O55L:01415:01008,23953889,NCI-RID
10,,54823704,3p,,,,R,5O55L:00526:01752,23953889,NCI-RID
10,PCDH15,55822951,3p,65217,,R,F,G13FKHM01AM8DN,23953889,NCI-RID
10,PCDH15,55946130,3p,65217,,R,F,5O55L:01455:01316,23953889,NCI-RID
10,,57520800,3p,,,,F,5O55L:00540:01142,23953889,NCI-RID
10,,57834138,3p,,,,F,5O55L:00869:01916,23953889,NCI-RID
10,,58114098,3p,,,,F,IBB2B7,23953889,NCI-RID
10,,58114779,3p,,,,F,G13FKHM01AXAG1,23953889,NCI-RID
10,,60210466,3p,,,,F,5O55L:02134:02479,23953889,NCI-RID
10,,60632092,3p,,,,R,5O55L:00970:01007,23953889,NCI-RID
10,,61142606,3p,,,,F,5O55L:00804:02110,23953889,NCI-RID
10,,61472953,3p,,,,F,5O55L:01764:01047,23953889,NCI-RID
10,CCDC6,61559325,3p,8030,,R,R,G13FKHM01AHEZ5,23953889,NCI-RID
10,,61762303,3p,,,,R,5O55L:01872:00870,23953889,NCI-RID
10,ANK3,62002743,3p,288,,R,R,G13FKHM01BBPS8,23953889,NCI-RID
10,ANK3,62249349,3p,288,,R,F,GXIEMIS01AX500,23953889,NCI-RID
10,ANK3,62481808,3p,288,,R,F,GXIEMIS01BFEHP,23953889,NCI-RID
10,,63148056,3p,,,,R,G13FKHM01BD2P4,23953889,NCI-RID
10,C10ORF107,63479020,3p,219621,,F,F,5O55L:02399:02379,23953889,NCI-RID
10,C10ORF107,63509843,3p,219621,,F,F,5O55L:01704:01537,23953889,NCI-RID
10,ARID5B,63700205,3p,84159,,F,F,5O55L:01563:01599,23953889,NCI-RID
10,ARID5B,63727163,3p,84159,,F,F,G13FKHM01AH1II,23953889,NCI-RID
10,ARID5B,63737184,3p,84159,,F,F,5O55L:01363:00615,23953889,NCI-RID
10,ZNF365,64231837,3p,22891,,F,R,G13FKHM01AI0JX,23953889,NCI-RID
10,ZNF365,64279652,3p,22891,,F,R,G13FKHM01A46W2,23953889,NCI-RID
10,,64926265,3p,,,,R,G13FKHM01A6FO0,23953889,NCI-RID
10,JMJD1C,64982589,3p,221037,,R,F,5O55L:00716:00450,23953889,NCI-RID
10,JMJD1C,65057409,3p,221037,,R,R,GXIEMIS01AMRN5,23953889,NCI-RID
10,JMJD1C,65119077,3p,221037,,R,F,IBB15F10,23953889,NCI-RID
10,JMJD1C,65203546,3p,221037,,R,F,G13FKHM01AM1KE,23953889,NCI-RID
10,JMJD1C,65219734,3p,221037,,R,F,GXIEMIS01ANGPT,23953889,NCI-RID
10,,65239211,3p,,,,R,IBB2F2,23953889,NCI-RID
10,,67116082,3p,,,,R,5O55L:01295:01922,23953889,NCI-RID
10,,67672180,3p,,,,R,5O55L:02601:01183,23953889,NCI-RID
10,CTNNA3,69304901,3p,29119,,R,R,5O55L:01116:01511,23953889,NCI-RID
10,,69548670,3p,,,,F,5O55L:02239:01738,23953889,NCI-RID
10,,69627811,3p,,,,F,5O55L:02352:01833,23953889,NCI-RID
10,HERC4,69788322,3p,26091,,R,F,5O55L:01678:01982,23953889,NCI-RID
10,RUFY2,70138208,3p,55680,,R,F,GXIEMIS01AU6LY,23953889,NCI-RID
10,DDX50,70685695,3p,79009,,F,R,5O55L:02633:01912,23953889,NCI-RID
10,,70820305,3p,,,,F,GXIEMIS01AJ4CA,23953889,NCI-RID
10,HK1,71085307,3p,3098,,F,F,5O55L:01101:00667,23953889,NCI-RID
10,AIFM2,71878106,3p,84883,,R,F,5O55L:02630:01929,23953889,NCI-RID
10,SAR1A,71915281,3p,56681,,R,R,5O55L:00621:00683,23953889,NCI-RID
10,PPA1,71977772,3p,5464,,R,R,5O55L:02375:01326,23953889,NCI-RID
10,PPA1,71985784,3p,5464,,R,R,G13FKHM01BUXC2,23953889,NCI-RID
10,SGPL1,72583678,3p,8879,,F,F,5O55L:00254:01545,23953889,NCI-RID
10,SGPL1,72601750,3p,8879,,F,R,5O55L:00667:00792,23953889,NCI-RID
10,C10ORF54,73513399,3p,64115,,R,R,5O55L:02415:01396,23953889,NCI-RID
10,CHST3,73727634,3p,9469,,F,R,5O55L:01889:01900,23953889,NCI-RID
10,,73850093,3p,,,,R,G13FKHM01A8VWH,23953889,NCI-RID
10,ASCC1,73873318,3p,51008,,R,R,5O55L:01300:01506,23953889,NCI-RID
10,ASCC1,73885605,3p,51008,,R,F,5O55L:02088:00913,23953889,NCI-RID
10,ASCC1,73909438,3p,51008,,R,R,GXIEMIS01AELF9,23953889,NCI-RID
10,ANAPC16,73989318,3p,119504,,F,R,G13FKHM01AHNW8,23953889,NCI-RID
10,,74013069,5p,,,,F,286_Mixed_042,23953889,NCI-RID
10,,74040932,3p,,,,R,G13FKHM01BROZZ,23953889,NCI-RID
10,,74071727,3p,,,,R,5O55L:00490:01470,23953889,NCI-RID
10,MICU1,74183264,3p,10367,,R,R,G13FKHM01BY1Q0,23953889,NCI-RID
10,MICU1,74318107,3p,10367,,R,R,IBB9E04,23953889,NCI-RID
10,,74436753,3p,,,,F,5O55L:02371:01221,23953889,NCI-RID
10,MCU,74465378,3p,90550,,F,R,G13FKHM01BXBJP,23953889,NCI-RID
10,P4HA1,74800505,3p,5033,,R,F,5O55L:01013:01413,23953889,NCI-RID
10,P4HA1,74852736,3p,5033,,R,F,5O55L:02172:01632,23953889,NCI-RID
10,ECD,74899078,3p,11319,,R,F,5O55L:01317:02041,23953889,NCI-RID
10,PPP3CB,75207997,3p,5532,,R,F,IBB14F6,23953889,NCI-RID
10,PPP3CB,75212284,3p,5532,,R,R,5O55L:01966:01580,23953889,NCI-RID
10,PPP3CB,75212832,3p,5532,,R,F,GXIEMIS01AC3T3,23953889,NCI-RID
10,PPP3CB,75228043,3p,5532,,R,F,5O55L:01187:01080,23953889,NCI-RID
10,SEC24C,75509536,3p,9632,,F,F,G13FKHM01B2AI3,23953889,NCI-RID
10,VCL,75760966,3p,7414,,F,F,5O55L:00735:01056,23953889,NCI-RID
10,VCL,75783298,3p,7414,,F,F,GXIEMIS01AV216,23953889,NCI-RID
10,VCL,75816190,3p,7414,,F,F,GXIEMIS01AFDU9,23953889,NCI-RID
10,AP3M1,75899062,3p,26985,,R,F,5O55L:02480:01626,23953889,NCI-RID
10,ADK,75926637,3p,132,,F,R,5O55L:02193:02250,23953889,NCI-RID
10,ADK,75931243,3p,132,,F,R,G13FKHM01BI80W,23953889,NCI-RID
10,ADK,76070708,3p,132,,F,F,ID26B8,23953889,NCI-RID
10,ADK,76136203,3p,132,,F,R,5O55L:02199:02548,23953889,NCI-RID
10,ADK,76264194,3p,132,,F,F,5O55L:02142:01153,23953889,NCI-RID
10,ADK,76294773,3p,132,,F,F,GXIEMIS01BBSFC,23953889,NCI-RID
10,ADK,76295705,3p,132,,F,F,IBB3E08,23953889,NCI-RID
10,ADK,76301978,3p,132,,F,R,G13FKHM01A5DCP,23953889,NCI-RID
10,ADK,76364070,3p,132,,F,R,GXIEMIS01AGI8F,23953889,NCI-RID
10,KAT6B,76731120,3p,23522,,F,R,G13FKHM01BHX05,23953889,NCI-RID
10,KAT6B,76750939,3p,23522,,F,F,5O55L:01714:00376,23953889,NCI-RID
10,SAMD8,76891728,3p,142891,,F,R,GXIEMIS01AB868,23953889,NCI-RID
10,SAMD8,76904898,3p,142891,,F,R,GXIEMIS01A8DGV,23953889,NCI-RID
10,C10ORF11,77999441,3p,83938,,F,R,5O55L:00896:01750,23953889,NCI-RID
10,,78353935,3p,,,,R,5O55L:00677:00812,23953889,NCI-RID
10,POLR3A,79764790,3p,11128,,R,R,5O55L:02115:01659,23953889,NCI-RID
10,,79901189,3p,,,,F,5O55L:02055:01786,23953889,NCI-RID
10,ZMIZ1,81010066,3p,57178,,F,R,5O55L:02457:02715,23953889,NCI-RID
10,,81322935,3p,,,,R,5O55L:00429:00142,23953889,NCI-RID
10,,81729226,3p,,,,F,5O55L:01064:00471,23953889,NCI-RID
10,,82282483,3p,,,,R,G13FKHM01BXTS0,23953889,NCI-RID
10,,82291464,3p,,,,R,5O55L:00442:00839,23953889,NCI-RID
10,,85195806,3p,,,,F,5O55L:00481:01614,23953889,NCI-RID
10,,85502219,3p,,,,R,5O55L:01533:01420,23953889,NCI-RID
10,,86515322,3p,,,,R,5O55L:01988:00577,23953889,NCI-RID
10,,86536815,3p,,,,R,5O55L:01893:01636,23953889,NCI-RID
10,GRID1,87525609,3p,2894,,R,F,5O55L:02630:01573,23953889,NCI-RID
10,GRID1,88036923,3p,2894,,R,R,G13FKHM01A0AOZ,23953889,NCI-RID
10,WAPAL,88205601,3p,23063,,R,R,G13FKHM01AN2NI,23953889,NCI-RID
10,LOC728190,89079148,3p,728190,,R,R,5O55L:00391:00533,23953889,NCI-RID
10,LOC728190,89085399,3p,728190,,R,R,5O55L:01873:01285,23953889,NCI-RID
10,LOC728190,89095333,3p,728190,,R,R,5O55L:01473:00592,23953889,NCI-RID
10,MINPP1,89308889,3p,9562,,F,R,ID5H7,23953889,NCI-RID
10,,89359823,3p,,,,F,5O55L:00456:01866,23953889,NCI-RID
10,ATAD1,89572730,3p,84896,,R,R,5O55L:00979:00722,23953889,NCI-RID
10,PTEN,89630525,3p,5728,,F,F,GXIEMIS01BKA8F,23953889,NCI-RID
10,PTEN,89645855,3p,5728,,F,R,G13FKHM01BZBGB,23953889,NCI-RID
10,PTEN,89683745,3p,5728,,F,F,G13FKHM01BH6J8,23953889,NCI-RID
10,PTEN,89688052,3p,5728,,F,F,5O55L:01814:02592,23953889,NCI-RID
10,PTEN,89689448,3p,5728,,F,F,G13FKHM01BC39X,23953889,NCI-RID
10,PTEN,89703245,3p,5728,,F,F,5O55L:01072:02107,23953889,NCI-RID
10,,89806638,3p,,,,R,G13FKHM01BOLWB,23953889,NCI-RID
10,RNLS,90169692,3p,55328,,R,R,G13FKHM01ADSWQ,23953889,NCI-RID
10,ANKRD22,90579769,3p,118932,,R,R,5O55L:01333:02690,23953889,NCI-RID
10,STAMBPL1,90647707,3p,57559,,F,R,G13FKHM01A3SRV,23953889,NCI-RID
10,STAMBPL1,90652398,3p,57559,,F,F,G13FKHM01A8SMQ,23953889,NCI-RID
10,FAS,90753982,3p,355,,F,R,GXIEMIS01BZKKZ,23953889,NCI-RID
10,FAS,90763457,3p,355,,F,R,G13FKHM01A4YM1,23953889,NCI-RID
10,FAS,90763594,3p,355,,F,F,G13FKHM01B0JS8,23953889,NCI-RID
10,KIF20B,91485030,3p,9585,,F,F,5O55L:00651:01581,23953889,NCI-RID
10,,92433316,3p,,,,F,G13FKHM01AM8ES,23953889,NCI-RID
10,HTR7,92537955,3p,3363,,R,R,G13FKHM01A9L3C,23953889,NCI-RID
10,RPP30,92638455,3p,10556,,F,R,5O55L:01473:01684,23953889,NCI-RID
10,RPP30,92657840,3p,10556,,F,F,5O55L:00646:02152,23953889,NCI-RID
10,PCGF5,92984174,3p,84333,,F,F,G13FKHM01AAUBU,23953889,NCI-RID
10,KIF11,94397324,3p,3832,,F,R,GXIEMIS01A6FB5,23953889,NCI-RID
10,,95508958,3p,,,,R,G13FKHM01BM311,23953889,NCI-RID
10,CYP2C19,96542863,3p,1557,,F,F,G13FKHM01BXMXH,23953889,NCI-RID
10,CYP2C9,96740115,3p,1559,,F,F,G13FKHM01BTSXS,23953889,NCI-RID
10,,97353088,3p,,,,F,5O55L:01567:02298,23953889,NCI-RID
10,ZNF518A,97905691,3p,9849,,F,R,5O55L:02177:00966,23953889,NCI-RID
10,TLL2,98143592,3p,7093,,R,F,5O55L:01533:02462,23953889,NCI-RID
10,PIK3AP1,98446462,3p,118788,,R,R,5O55L:02530:01536,23953889,NCI-RID
10,SLIT1,98790026,3p,6585,,R,F,ID4G5,23953889,NCI-RID
10,RRP12,99154590,3p,23223,,R,R,5O55L:01529:01634,23953889,NCI-RID
10,PI4K2A,99421024,3p,55361,,F,F,GXIEMIS01APUM3,23953889,NCI-RID
10,,99485287,3p,,,,F,5O55L:02464:00770,23953889,NCI-RID
10,R3HCC1L,99958841,3p,27291,,F,F,IBB7E02,23953889,NCI-RID
10,ERLIN1,101920761,3p,10613,,R,R,5O55L:00880:02381,23953889,NCI-RID
10,ERLIN1,101935969,3p,10613,,R,R,5O55L:01934:02216,23953889,NCI-RID
10,CHUK,101965207,3p,1147,,R,F,5O55L:02326:02085,23953889,NCI-RID
10,SCD,102118559,3p,6319,,F,F,5O55L:01934:02462,23953889,NCI-RID
10,BTRC,103130849,3p,8945,,F,F,5O55L:01383:02575,23953889,NCI-RID
10,BTRC,103144274,3p,8945,,F,F,GXIEMIS01AOFTI,23953889,NCI-RID
10,BTRC,103195386,3p,8945,,F,R,G13FKHM01BT16Z,23953889,NCI-RID
10,BTRC,103309139,3p,8945,,F,F,GXIEMIS01BRH9D,23953889,NCI-RID
10,FBXW4,103429022,3p,6468,,R,F,5O55L:00858:01614,23953889,NCI-RID
10,MGEA5,103564550,3p,10724,,R,F,G13FKHM01B23XE,23953889,NCI-RID
10,MGEA5,103566368,3p,10724,,R,R,G13FKHM01BE403,23953889,NCI-RID
10,MGEA5,103572068,3p,10724,,R,F,5O55L:02551:02579,23953889,NCI-RID
10,C10ORF76,103618372,3p,79591,,R,R,5O55L:02382:01972,23953889,NCI-RID
10,C10ORF76,103644103,3p,79591,,R,R,5O55L:02195:01554,23953889,NCI-RID
10,C10ORF76,103681956,3p,79591,,R,F,5O55L:01233:01072,23953889,NCI-RID
10,C10ORF76,103709024,3p,79591,,R,R,5O55L:02379:02465,23953889,NCI-RID
10,C10ORF76,103712693,3p,79591,,R,R,IBB16G2,23953889,NCI-RID
10,C10ORF76,103713070,3p,79591,,R,F,5O55L:00852:00264,23953889,NCI-RID
10,C10ORF76,103715230,3p,79591,,R,R,G13FKHM01BVGY3,23953889,NCI-RID
10,C10ORF76,103725534,3p,79591,,R,R,G13FKHM01A22YS,23953889,NCI-RID
10,NOLC1,103920879,3p,9221,,F,F,5O55L:02370:00781,23953889,NCI-RID
10,GBF1,104013942,3p,8729,,F,F,G13FKHM01AW15N,23953889,NCI-RID
10,GBF1,104018997,3p,8729,,F,R,5O55L:02358:02709,23953889,NCI-RID
10,GBF1,104043849,3p,8729,,F,R,5O55L:02274:01434,23953889,NCI-RID
10,GBF1,104046280,3p,8729,,F,R,G13FKHM01A1OIH,23953889,NCI-RID
10,GBF1,104062467,3p,8729,,F,R,5O55L:00309:00612,23953889,NCI-RID
10,CUEDC2,104191085,3p,79004,,R,F,5O55L:02223:01871,23953889,NCI-RID
10,LOC100505761,104211986,5p,100505761,,F,F,RSHY_106_186BN_095,23953889,NCI-RID
10,SUFU,104297737,5p,51684,,F,F,19__026,23953889,NCI-RID
10,ARL3,104450492,3p,403,,R,F,5O55L:01352:01578,23953889,NCI-RID
10,ARL3,104468265,3p,403,,R,R,5O55L:02607:01390,23953889,NCI-RID
10,SFXN2,104483701,3p,118980,,F,R,G13FKHM01BGV6W,23953889,NCI-RID
10,WBP1L,104517631,5p,54838,,F,F,RSHY_106G_51_024,23953889,NCI-RID
10,WBP1L,104518249,3p,54838,,F,R,G13FKHM01A8J2F,23953889,NCI-RID
10,NT5C2,104872603,3p,22978,,R,R,GXIEMIS01AWES1,23953889,NCI-RID
10,NT5C2,104879925,3p,22978,,R,F,5O55L:02542:01583,23953889,NCI-RID
10,NT5C2,104880866,3p,22978,,R,R,GXIEMIS01BAZ98,23953889,NCI-RID
10,PCGF6,105095376,3p,84108,,R,R,G13FKHM01AS55S,23953889,NCI-RID
10,TAF5,105128729,3p,6877,,F,R,5O55L:01418:02104,23953889,NCI-RID
10,TAF5,105137187,3p,6877,,F,R,GXIEMIS01BA885,23953889,NCI-RID
10,SLK,105742041,3p,9748,,F,F,GXIEMIS01AC043,23953889,NCI-RID
10,SLK,105755543,3p,9748,,F,R,5O55L:00431:01506,23953889,NCI-RID
10,SLK,105760933,3p,9748,,F,R,5O55L:01772:01384,23953889,NCI-RID
10,SLK,105766547,3p,9748,,F,F,G13FKHM01A1B2O,23953889,NCI-RID
10,SLK,105772129,3p,9748,,F,R,G13FKHM01AMIFK,23953889,NCI-RID
10,,106070298,3p,,,,R,G13FKHM01A6LFE,23953889,NCI-RID
10,ITPRIP,106076826,3p,85450,,R,F,G13FKHM01AUQWG,23953889,NCI-RID
10,SORCS3,106557409,3p,22986,,F,F,G13FKHM01BMXUJ,23953889,NCI-RID
10,,107153441,3p,,,,F,5O55L:01395:01952,23953889,NCI-RID
10,,109177176,3p,,,,R,5O55L:02206:01483,23953889,NCI-RID
10,,109690393,3p,,,,R,5O55L:00730:01824,23953889,NCI-RID
10,,110427330,3p,,,,R,5O55L:01846:02572,23953889,NCI-RID
10,,111048044,3p,,,,F,ID24D2,23953889,NCI-RID
10,,111537208,3p,,,,R,GXIEMIS01A4FL7,23953889,NCI-RID
10,ADD3,111824104,3p,120,,F,F,G13FKHM01BTL5W,23953889,NCI-RID
10,ADD3,111872579,3p,120,,F,F,GXIEMIS01AD6FY,23953889,NCI-RID
10,MXI1,112021284,3p,4601,,F,R,GXIEMIS01A2J3C,23953889,NCI-RID
10,,112072989,3p,,,,R,G13FKHM01B164O,23953889,NCI-RID
10,SMC3,112342794,3p,9126,,F,F,G13FKHM01BCHE5,23953889,NCI-RID
10,PDCD4,112639616,3p,27250,,F,R,G13FKHM01BGF79,23953889,NCI-RID
10,PDCD4,112643488,3p,27250,,F,R,5O55L:02206:02400,23953889,NCI-RID
10,PDCD4,112643941,3p,27250,,F,F,5O55L:02528:01776,23953889,NCI-RID
10,SHOC2,112748676,3p,8036,,F,F,G13FKHM01AY1PH,23953889,NCI-RID
10,SHOC2,112756891,3p,8036,,F,R,ID25G1,23953889,NCI-RID
10,,113139365,3p,,,,R,GXIEMIS01B0PI8,23953889,NCI-RID
10,,113724134,3p,,,,F,G13FKHM01A4L31,23953889,NCI-RID
10,,114672759,3p,,,,R,5O55L:02525:01565,23953889,NCI-RID
10,TDRD1,115947392,3p,56165,,F,R,G13FKHM01BD8G6,23953889,NCI-RID
10,ABLIM1,116243277,3p,3983,,R,F,GXIEMIS01AJ8JM,23953889,NCI-RID
10,ABLIM1,116252119,3p,3983,,R,F,ID1D6,23953889,NCI-RID
10,FAM160B1,116644559,3p,57700,,F,R,G13FKHM01A23DC,23953889,NCI-RID
10,TRUB1,116716392,3p,142940,,F,R,5O55L:02179:00943,23953889,NCI-RID
10,TRUB1,116734045,3p,142940,,F,R,5O55L:02205:00827,23953889,NCI-RID
10,TRUB1,116734094,3p,142940,,F,F,5O55L:02374:01776,23953889,NCI-RID
10,ATRNL1,117163346,3p,26033,,F,R,5O55L:01568:00628,23953889,NCI-RID
10,,118415741,3p,,,,R,G13FKHM01ALZT2,23953889,NCI-RID
10,,118581612,3p,,,,F,G13FKHM01AIWX6,23953889,NCI-RID
10,PDZD8,119114053,5p,118987,,R,R,43__091,23953889,NCI-RID
10,CACUL1,120498921,3p,143384,,R,F,ID26B2,23953889,NCI-RID
10,EIF3A,120835474,3p,8661,,R,F,ID27F9,23953889,NCI-RID
10,RGS10,121291510,3p,6001,,R,F,5O55L:02316:01648,23953889,NCI-RID
10,,121328662,3p,,,,F,G13FKHM01BSJ5Z,23953889,NCI-RID
10,TIAL1,121340461,3p,7073,,R,R,5O55L:02047:02085,23953889,NCI-RID
10,TIAL1,121340472,3p,7073,,R,R,5O55L:00440:01246,23953889,NCI-RID
10,TIAL1,121341054,3p,7073,,R,R,GXIEMIS01ARUHS,23953889,NCI-RID
10,TIAL1,121349007,3p,7073,,R,F,G13FKHM01AIZKM,23953889,NCI-RID
10,INPP5F,121539947,3p,22876,,F,F,ID2A4,23953889,NCI-RID
10,INPP5F,121579470,3p,22876,,F,F,5O55L:01677:02529,23953889,NCI-RID
10,,122013935,3p,,,,R,G13FKHM01BOVCK,23953889,NCI-RID
10,ATE1,123620490,3p,11101,,R,R,ID29D12,23953889,NCI-RID
10,PLEKHA1,124151089,3p,59338,,F,R,G13FKHM01A9LBG,23953889,NCI-RID
10,PLEKHA1,124161670,3p,59338,,F,R,5O55L:02307:02077,23953889,NCI-RID
10,PLEKHA1,124163076,3p,59338,,F,R,5O55L:00664:02246,23953889,NCI-RID
10,PLEKHA1,124163243,3p,59338,,F,F,G13FKHM01BB50W,23953889,NCI-RID
10,PLEKHA1,124164014,3p,59338,,F,F,5O55L:01295:01609,23953889,NCI-RID
10,PLEKHA1,124172776,3p,59338,,F,F,G13FKHM01AU7O7,23953889,NCI-RID
10,PLEKHA1,124180180,3p,59338,,F,R,G13FKHM01BRH7U,23953889,NCI-RID
10,PLEKHA1,124186978,3p,59338,,F,R,5O55L:01244:02234,23953889,NCI-RID
10,FAM24B,124624022,3p,196792,,R,F,G13FKHM01A65GF,23953889,NCI-RID
10,LOC399815,124643082,3p,,,F,F,IBB2G5,23953889,NCI-RID
10,,124822783,3p,,,,R,5O55L:01718:02693,23953889,NCI-RID
10,,125391275,3p,,,,R,G13FKHM01AV6I5,23953889,NCI-RID
10,,125713375,3p,,,,F,5O55L:00534:01474,23953889,NCI-RID
10,,126442186,5p,,,,F,3A_G27_079,23953889,NCI-RID
10,METTL10,126454666,3p,399818,,R,F,G13FKHM01B1OMO,23953889,NCI-RID
10,C10ORF137,127423596,3p,26098,,F,F,ID27D7,23953889,NCI-RID
10,C10ORF137,127436129,3p,26098,,F,F,5O55L:02561:01732,23953889,NCI-RID
10,PTPRE,129746709,3p,5791,,F,R,IBB2D3,23953889,NCI-RID
10,MGMT,131405398,3p,4255,,F,R,IBB12A01,23953889,NCI-RID
10,LOC387723,131874308,3p,387723,,R,R,5O55L:01887:02018,23953889,NCI-RID
10,JAKMIP3,133980934,3p,282973,,F,F,5O55L:01708:01418,23953889,NCI-RID
10,LRRC27,134156623,5p,80313,,F,F,107__078,23953889,NCI-RID
10,ADAM8,135081298,3p,101,,R,R,5O55L:01472:00461,23953889,NCI-RID
10,MTG1,135219352,3p,92170,,F,F,5O55L:01082:00709,23953889,NCI-RID
10,MTG1,135219359,3p,92170,,F,F,IBB13D1,23953889,NCI-RID
10,MTG1,135224912,3p,92170,,F,F,5O55L:02498:01792,23953889,NCI-RID
11,SIRT3,219699,3p,23410,,R,R,IBB16D11,23953889,NCI-RID
11,SIRT3,221159,5p,23410,,R,R,202__030,23953889,NCI-RID
11,SIRT3,224399,3p,23410,,R,F,5O55L:02599:01530,23953889,NCI-RID
11,SIRT3,225289,3p,23410,,R,F,G13FKHM01A7DV6,23953889,NCI-RID
11,SIRT3,227489,3p,23410,,R,R,GXIEMIS01BMLLI,23953889,NCI-RID
11,SIRT3,227579,3p,23410,,R,R,GXIEMIS01A43RF,23953889,NCI-RID
11,SIRT3,229087,3p,23410,,R,F,5O55L:00591:00995,23953889,NCI-RID
11,PSMD13,242492,3p,5719,,F,F,GXIEMIS01AXAM6,23953889,NCI-RID
